Bureau of Justice Statistics,,,,,,,,
Filename: ppus16at08.csv,,,,,,,,
"Appendix table 8. Characteristics of adults on parole, 2000, 2015, and 2016",,,,,,,,
"Report title: Probation and Parole in the United States, 2016   NCJ 251148",,,,,,,,
"Data source:  Bureau of Justice Statistics, Annual Probation Survey and Annual Parole Survey, 2016.",,,,,,,,
"Author:  Danielle Kaeble, BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,
Date of version: 12/11/2017,,,,,,,,
,,,,,,,,
"Appendix table 8. Characteristics of adults on parole, 2000, 2015, and 2016",,,,,,,,
Characteristic,,,2000,,2015,,2016,
Sex,,,100,%,100,%,100,%
,Male,,88,,87,,87,
,Female,,12,,13,,13,
Race/Hispanic origin/a,,,100,%,100,%,100,%
,White,,38,,44,,45,
,Black/African American,,40,,38,,38,
,Hispanic/Latino,,21,,16,,15,
,American Indian/Alaska Native,,1,,1,,1,
,Asian/Native Hawaiian/Other Pacific Islander,,--,,1,,1,
,Two or more races,,...,,--,,--,
Status of supervision,,,100,%,100,%,100,%
,Active ,,83,,83,,82,
,Inactive ,,4,,5,,5,
,Absconder,,7,,6,,7,
,Supervised out of state,,5,,4,,4,
,Financial conditions remaining,,...,,--,,--,
,Other,,1,,3,,2,
Maximum sentence to incarceration,,,100,%,100,%,100,%
,Less than 1 year,,3,,6,,6,
,1 year or more,,97,,94,,94,
Most serious offense,,,100,%,100,%,100,%
,Violent,,...,,32,,30,
,,Sex offense,...,,8,,8,
,,Other,...,,24,,22,
,Property,,...,,21,,21,
,Drug,,...,,31,,31,
,Weapon,,...,,4,,4,
,Other/b,,...,,13,,13,
Note: Detail may not sum to total due to rounding. Estimates are based on most recent data and may differ from previously published statistics. See Methodology. Characteristics are based on parolees with a known type of status. ,,,,,,,,
--Less than 0.05%.,,,,,,,,
...Not available.,,,,,,,,
"a/Excludes persons of Hispanic or Latino origin, unless specified.",,,,,,,,
b/Includes public order offenses.,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Parole Survey, 2000, 2015, and 2016.",,,,,,,,
