All offenses,Percent of total releases,,Median Time in Prison,,Mean Time in Prison,
All offenses,100,%,1.3, yrs.,2.7, yrs.
Total Violent,29.8,%,2.4, yrs.,4.8, yrs.
Murder,1.7,,17.5,yrs.,17.8,yrs.
Non-negligent manslaughter/c,0.4,,7,yrs.,8.2,yrs.
Negligent manslaughter,0.8,,3.7,yrs.,5.3,yrs.
Rape  ,1.5,,7.2,yrs.,9.6,yrs.
Other sexual assault,3.4,,3.6,yrs.,5,yrs.
Robbery,7.4,,3.2,yrs.,4.8,yrs.
Assault,11.6,,1.4,yrs.,2.5,yrs.
Other violent/d,2.3,,1.5,yrs.,3.5,yrs.
Total Property,25.7,%,13, mos.,21, mos.
Burglary,10.6,,17, mos.,27, mos.
Larceny-theft,6.8,,11, mos.,17, mos.
Motor-vehicle theft,1.5,,11, mos.,15, mos.
Fraud/e,3.8,,11, mos.,17, mos.
Other property/f,3,,12, mos.,20, mos.
Total Drugs,24.6,%,12, mos.,21, mos.
Possession,8.6,,9, mos.,13, mos.
Trafficking,9.4,,17, mos.,26, mos.
Other drug/g,6.6,,14, mos.,23, mos.
Total Public Disturbance,19.2,%,13, mos.,21, mos.
Weapons,5.9,,15, mos.,23, mos.
Other public order/h,13.3,,12, mos.,20, mos.
Other Total,0.7,%,16, mos.,31, mos.
Number of releases,376993,,,,,
